Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,2018.000000,2030.000000,2003.150024,2021.849976,2009.317139,5410307
2021-04-05,2024.949951,2025.000000,1962.099976,1992.599976,1980.248413,6864856
2021-04-06,2004.000000,2004.949951,1969.000000,1984.300049,1972.000000,6465241
2021-04-07,2000.000000,2046.900024,1993.300049,2002.849976,1990.434937,11198918
2021-04-08,2011.000000,2022.000000,1993.000000,2005.349976,1992.919434,7092878
2021-04-09,1998.449951,2006.349976,1980.000000,1982.050049,1969.764038,6478482
2021-04-12,1959.000000,1961.400024,1900.250000,1911.150024,1899.303467,9646031
2021-04-13,1924.000000,1940.599976,1917.849976,1931.800049,1919.825439,8958261
2021-04-15,1926.300049,1961.000000,1913.000000,1944.300049,1932.247925,9102492
2021-04-16,1936.599976,1949.900024,1926.449951,1932.099976,1920.123535,7225679
2021-04-19,1904.000000,1916.400024,1890.000000,1901.699951,1889.911865,8527967
2021-04-20,1910.500000,1919.000000,1890.449951,1901.150024,1889.365356,7939490
2021-04-22,1892.250000,1914.449951,1876.699951,1906.400024,1894.582886,6687573
2021-04-23,1906.000000,1918.900024,1895.349976,1904.349976,1892.545532,5459016
2021-04-26,1920.000000,1962.000000,1911.500000,1937.849976,1925.837891,9620785
2021-04-27,1940.000000,1997.199951,1938.250000,1988.650024,1976.322998,9226547
2021-04-28,1997.849976,2008.000000,1980.150024,1997.300049,1984.919434,7902002
2021-04-29,2022.900024,2044.500000,2007.300049,2024.050049,2011.503662,8035915
2021-04-30,2008.500000,2036.000000,1987.550049,1994.500000,1982.136841,9150974
2021-05-03,1966.000000,1979.000000,1943.099976,1959.050049,1946.906494,10909942
2021-05-04,1950.000000,1967.800049,1911.000000,1916.599976,1904.719604,10083693
2021-05-05,1923.349976,1938.500000,1908.050049,1920.099976,1908.197876,5719649
2021-05-06,1921.849976,1935.000000,1906.599976,1931.000000,1919.030396,6749281
2021-05-07,1937.750000,1955.650024,1926.000000,1931.750000,1919.775757,5671163
2021-05-10,1939.000000,1946.800049,1920.949951,1926.199951,1914.260010,6433879
2021-05-11,1915.000000,1938.550049,1910.000000,1933.150024,1921.166992,6220217
2021-05-12,1930.099976,1932.900024,1907.000000,1913.150024,1901.291016,6081627
2021-05-14,1928.050049,1942.000000,1906.000000,1937.300049,1925.291382,6134079
2021-05-17,1937.300049,1963.449951,1930.400024,1960.349976,1948.198364,5479424
2021-05-18,1981.000000,2002.599976,1972.500000,1987.949951,1975.627319,5567958
2021-05-19,1980.000000,2016.449951,1972.000000,1997.050049,1984.671021,7530294
2021-05-20,1997.900024,2010.900024,1981.000000,1985.400024,1973.093140,5271497
2021-05-21,1992.000000,2009.599976,1986.000000,2002.550049,1990.136963,4977555
2021-05-24,2008.000000,2009.800049,1982.000000,1985.650024,1973.341553,3946636
2021-05-25,1996.400024,1997.000000,1960.000000,1963.150024,1950.981079,6821015
2021-05-26,1975.000000,1979.500000,1965.300049,1970.050049,1957.838379,3452113
2021-05-27,1970.300049,1993.000000,1962.250000,1976.099976,1963.850830,12377100
2021-05-28,1990.000000,2105.000000,1990.000000,2094.800049,2081.815186,26060864
2021-05-31,2102.000000,2191.699951,2085.050049,2160.300049,2146.908936,27285782
2021-06-01,2166.000000,2202.000000,2146.500000,2168.899902,2155.455811,12928379
2021-06-02,2157.000000,2209.500000,2157.000000,2201.250000,2187.605225,11366816
2021-06-03,2221.000000,2250.000000,2196.100098,2209.649902,2195.953125,11064116
2021-06-04,2214.800049,2216.449951,2184.250000,2190.500000,2176.921875,6677278
2021-06-07,2202.000000,2242.000000,2185.000000,2227.399902,2213.593018,7539326
2021-06-08,2226.600098,2227.149902,2198.149902,2214.600098,2200.872559,4464889
2021-06-09,2219.000000,2221.000000,2157.949951,2175.000000,2161.518066,5265326
2021-06-10,2193.399902,2230.000000,2177.550049,2183.000000,2169.468262,6532832
2021-06-11,2182.899902,2228.000000,2180.100098,2213.149902,2206.506592,6351520
2021-06-14,2215.000000,2258.250000,2195.050049,2244.899902,2238.161377,9383416
2021-06-15,2261.000000,2274.899902,2240.300049,2250.000000,2243.246094,7002898
2021-06-16,2244.899902,2247.050049,2205.850098,2211.600098,2204.961670,4982975
2021-06-17,2200.000000,2235.000000,2179.899902,2215.649902,2208.999268,7266765
2021-06-18,2225.500000,2235.000000,2184.350098,2225.649902,2218.969238,13553801
2021-06-21,2203.500000,2247.500000,2200.149902,2237.250000,2230.534424,5624044
2021-06-22,2254.000000,2261.000000,2219.350098,2225.750000,2219.069092,5940386
2021-06-23,2250.000000,2250.600098,2201.699951,2205.350098,2198.730225,7685796
2021-06-24,2206.850098,2214.600098,2140.000000,2153.500000,2147.035889,42209687
2021-06-25,2153.500000,2153.500000,2081.100098,2104.449951,2098.133057,25546334
2021-06-28,2122.000000,2126.500000,2081.000000,2086.000000,2079.738525,9357852
2021-06-29,2089.500000,2109.000000,2084.100098,2087.800049,2081.533203,12526981
2021-06-30,2096.250000,2122.649902,2091.050049,2110.649902,2104.314453,9120556
2021-07-01,2118.000000,2123.149902,2095.000000,2097.949951,2091.652588,5784627
2021-07-02,2097.000000,2132.899902,2092.949951,2129.050049,2122.659180,6500973
2021-07-05,2136.449951,2153.550049,2131.500000,2150.199951,2143.745605,5400604
2021-07-06,2144.949951,2148.899902,2120.199951,2124.800049,2118.422119,4647361
2021-07-07,2127.750000,2127.750000,2098.000000,2110.050049,2103.716309,4824931
2021-07-08,2116.949951,2116.949951,2081.000000,2092.600098,2086.318848,5162088
2021-07-09,2088.000000,2091.699951,2066.100098,2071.199951,2064.982910,4170886
